T0,use,plant,soil,control,water,crop,feed,diseas,fertil,cow,maiz,best,farm,anim,manur,make,caus,weed,spray,appli,well,good,product,dri,seed
T1,wefarm,ask,say,q,answer,question,thank,sm,pleas,l,know,ye,farmer,repli,stop,want,send,call,start,farm,counti,iam,get,u,dont
T2,plz,nko,k,lugari,uko,mi,aki,credo,niko,mtu,pei,ata,ndo,yako,asand,wew,shamba,ka,mzinga,wapi,mufutu,ako,dem,nani,poa
T3,u,plant,n,use,maiz,b,ur,wat,farm,r,best,plz,soil,know,bt,one,want,get,te,ye,type,take,water,make,grow
T4,cow,milk,dairi,ye,best,use,month,give,feed,salt,day,deworm,goat,good,calf,produc,spray,get,grass,breed,one,meal,ask,sheep,heat
T5,plant,best,get,counti,seed,tomato,maiz,use,market,farm,type,potato,bean,one,mani,much,grow,kenya,price,acr,per,kg,need,good,onion
T6,charl,ix,mie,iwant,bada,frank,iwa,yea,kuria,nn,shule,hau,wich,meru,manth,dia,ye,joel,kizuri,aroud,ius,gread,afemal,whic,juxt
T7,chick,chicken,poultri,get,egg,start,farm,feed,hen,one,give,rabbit,keep,need,day,farmer,layer,kienyeji,want,mash,hous,vaccin,month,use,breed
T8,dr,ov,philiph,wananjofu,eliud,uganda,school,kanungu,center,namaika,jam,poltri,poteto,pro,sp,kipkoech,oxali,cous,bett,thax,ncpb,ginger,gradual,whot,kh
T9,na,ya,ni,kwa,wa,kuku,dawa,gani,kama,nini,kuna,niko,je,ng,ama,za,omb,moja,maji,mbolea,mayai,ndio,mbegu,mahindi,wapi
